Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Arduino-Pro-Mini.PrjPcb|ReportField=ProjectFullPath~C:\Users\Pieter Henning\Google Drive\iTimeAfrica\archive\arduino-pro-mini-reference-design\Imported Arduino-Pro-Mini.PrjPcb\Arduino-Pro-Mini.PrjPcb|ReportField=Title~Bill of Materials For Project [Arduino-Pro-Mini.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~8:27:46 AM|ReportField=ReportDate~2018-06-15|ReportField=ReportDateTime~2018-06-15 8:27:46 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~28|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2018-06-15|ReportField=CurrentTime~8:27:04 AM|ReportField=Date~2017-12-12 8:04:58 AM|ReportField=DocumentFullPathAndName~C:\Users\Pieter Henning\Google Drive\iTimeAfrica\archive\arduino-pro-mini-reference-design\Imported Arduino-Pro-Mini.PrjPcb\Arduino-Pro-Mini.SchDoc|ReportField=DocumentName~Arduino-Pro-Mini.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2017-12-12|ReportField=Organization~|ReportField=ProjectName~Arduino-Pro-Mini.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Arduino-Pro-Mini|ReportField=DataSourceFileName~Arduino-Pro-Mini.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Pieter Henning\Google Drive\iTimeAfrica\archive\arduino-pro-mini-reference-design\Imported Arduino-Pro-Mini.PrjPcb\Arduino-Pro-Mini.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|0.1uF|CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor.|C1, C2, C3, C10|0603-CAP|CAP0603-CAP|4
2|10uF|Capacitor PolarizedThese are standard SMD and PTH capacitors. Normally 10uF, 47uF, and 100uF in electrolytic and tantalum varieties. Always verify the external diameter of the through hole cap, it varies with capacity, voltage, and manufacturer. The EIA devices should be standard.|C13, C19|EIA3216|CAP_POL1206|2
3|Green|LEDsStandard schematic elements and footprints for 5mm, 3mm, 1206, and 0603 sized LEDs. 5mm - Spark Fun Electronics SKU : COM-00529 (and others)|D3|0603-LED-ALT1|LED|1
4|FTDI Basic||JP1|1X06|ARDUINO_SERIAL_PROGRAMPTH|1
5|M02PTH|Header 2Standard 2-pin 0.1" header. Use with straight break away headers (SKU : PRT-00116), right angle break away headers (PRT-00553), swiss pins (PRT-00743), machine pins (PRT-00117), and female headers (PRT-00115). Molex polarized connector foot print use with SKU : PRT-08233 with associated crimp pins and housings.|JP2, JP3|1X02|M02PTH|2
6|FIDUCIALUFIDUCIAL|Fiducial Alignment PointsVarious fiducial points for machine vision alignment.|JP5, JP8|MICRO-FIDUCIAL|FIDUCIALUFIDUCIAL|2
7|M12PTH|Header 12Standard 12-pin 0.1" header. Use with straight break away headers (SKU : PRT-00116), right angle break away headers (PRT-00553), swiss pins (PRT-00743), machine pins (PRT-00117), and female headers (PRT-00115).|JP6, JP7|1X12|M12PTH|2
8|Red|LEDsStandard schematic elements and footprints for 5mm, 3mm, 1206, and 0603 sized LEDs. 5mm - Spark Fun Electronics SKU : COM-00529 (and others)|LED1|0603-LED-ALT1|LED|1
9|8/16/20MHz|ResonatorSmall SMD resonator. This is the itty bitty 10/20MHz resonators with built in caps. CSTCE10M0G55 and CSTCE20M0V53. Footprint for SMD has been used in SFE production for years, and does work okay. 1:1 is an attempt to get larger fillets on the sides so it will be easier to inspect these solders in our AOI machine. The pads have been minimized to match the actual metal under the resonator. To see this relation, it includes an image import of the bottom side of the component. Imported to scale on layer 200.|Q1|RESONATOR-SMD-1:1|RESONATOR1:1|1
10|RESISTOR0603-RES|ResistorBasic schematic elements and footprints for 0603, 1206, and PTH resistors.|R1, R3|0603-RES|RESISTOR0603-RES|2
11|10K|ResistorBasic schematic elements and footprints for 0603, 1206, and PTH resistors.|R2, R11|0603-RES|RESISTOR0603-RES|2
12|330|ResistorBasic schematic elements and footprints for 0603, 1206, and PTH resistors.|R6|0603-RES|RESISTOR0603-RES|1
13|Reset|Various NO switches- pushbuttons, reed, etc|S1|TACTILE-SWITCH-SMD-ALT01|SWITCH-MOMENTARY-2SMD-ALT01|1
