Field=#~Integer~#~50|Field=Quantity~Integer~Quantity~100|Field=LibRef~String~LibRef~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=ManufacturerPartNumber~String~ManufacturerPartNumber~100|Field=Supplier_1~String~Supplier_1~100|Field=Supplier_2~String~Supplier_2~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~iTimeAfrica.PrjPcb|ReportField=ProjectFullPath~C:\Users\Pieter Henning\Google Drive\iTimeAfrica\iTimeAfrica.PrjPcb|ReportField=Title~Bill of Materials For Project [iTimeAfrica.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~11:05:14 AM|ReportField=ReportDate~2018-02-08|ReportField=ReportDateTime~2018-02-08 11:05:14 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~39|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~2018-02-08|ReportField=CurrentTime~10:55:57 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Pieter Henning\Google Drive\iTimeAfrica\iTimeAfrica.SchDoc|ReportField=DocumentName~iTimeAfrica.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~2018-02-08|ReportField=Organization~|ReportField=ProjectName~iTimeAfrica.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~2|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~iTimeAfrica.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Pieter Henning\Google Drive\iTimeAfrica\iTimeAfrica.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|1|Arduino Pro Mini|Arduino Pro Mini|ArduinoPro|DEV-11113  (check this)|https://www.aliexpress.com/item/2PCS-New-Pro-Mini-Atmega328-3-3V-8M-Replace-ATmega128-For-Arduino-Compatible-Nano/2037934450.html?spm=a2g0s.9042311.0.0.wP2Mco|
2|1|Battery Holder|Battery Holder|BAT1||AlliExpress|?
3|1|nokia 5110 lcd V2|nokia 5110 lcd V2|LCD1|unknown|https://www.aliexpress.com/item/84-48-LCD-Module-White-backlight-adapter-pcb-for-Nokia-5110/1859113549.html?spm=a2g0s.9042311.0.0.fpwn1h|
4|5|Red LED THP|Red LED, 5mm THP|LED1, LED2, LED3, LED4, LED5|L-53SR|http://www.communica.co.za/Catalog/Details/P2732841061|
5|1|RFID module|RFID module|MOD1-RFID|RFID-RC533|https://www.aliexpress.com/item/13-56MHz-RFID-MF-RC522-RC-522-Reader-Writer-Module-I2C-Interface-2-Pins-Sensor-Card/32785550279.html?spm=a2g0s.9042311.0.0.wP2Mco|
6|1|Real Time Clock DS3231|Real Time Clock DS3231|MOD2-RTC||https://www.aliexpress.com/item/DS3231-AT24C32-IIC-High-Precision-RTC-Module-Clock-Timer-Memory-Module/2037934408.html?spm=a2g0s.9042311.0.0.wP2Mco|
7|1|Bluetooth module|Bluetooth module|MOD3-BT||https://www.aliexpress.com/item/Wireless-Serial-6-Pin-Bluetooth-RF-Transceiver-Module-HC-05-RS232-Master-Slave/2038549888.html?spm=a2g0s.9042311.0.0.wP2Mco|
8|1|Charger / Protection|LIPO carger and pritection  03962A|MOD4-CHARGE|03962A||
9|1|Battery Indicator|1S 3.7V Lithium Battery Capacity Indicator Module 4.2V|MOD5-Indicator||AlliExpress|?
10|1|3 pin Screw Terminal 3.5mm|3 pin Screw Terminal 3.5mm|P1|1984950|https://www.netram.co.za/2955-screw-terminal-35mm-2-pin-5-pk.html|
11|1|NPN Transistor|NPN Transistor|Q1|2n3904|http://www.communica.co.za/Catalog/Details/P0173638625|
12|10|4k7|Resistor|R1, R2, R7, R8, R9, R15, R17, R18, R20, R21||comunica|
13|12|100R|Resistor|R3, R4, R5, R6, R10, R11, R12, R13, R14, R16, R19, R22||comunica|
14|1|Slide Switch 3mm pitch|Slide Switch 3mm pitch|S1||http://www.communica.co.za/Catalog/Details/P2077750286|http://www.communica.co.za/catalog/Details/P2624616678
15|1|2way DIP Switch 2.54mm pitch|2way DIP Switch 2.54mm pitch|S2|KTS02E|http://www.communica.co.za/Catalog/Details/P1597622190|https://za.rs-online.com/web/p/dip-sip-switches/8772116/
